SELECT
    ROUND(psfFlux, -4) AS bucket,
    COUNT(*) AS COUNT
FROM DeepSource
GROUP BY bucket;
+--------+----------+
| bucket | COUNT    |
|    -2720000 |          4 |
|    -2700000 |          2 |
|    -2690000 |          1 |
|    -2680000 |          1 |
|    -2670000 |          3 |
|    -2660000 |          5 |
|    -2650000 |          4 |
|    -2640000 |          1 |
|    -2630000 |          1 |
|    -2620000 |          3 |
|    -2610000 |          1 |
|    -2590000 |          3 |
|    -2580000 |          1 |
|    -2570000 |          2 |
|    -2560000 |          3 |
|    -2550000 |          1 |
|    -2540000 |          1 |
|    -2530000 |          2 |
|    -2520000 |          2 |
|    -2510000 |          4 |
|    -2500000 |          1 |
|    -2490000 |          1 |
|    -2480000 |          1 |
|    -2470000 |          1 |
|    -2460000 |          1 |
|    -2450000 |          4 |
|    -2440000 |          1 |
|    -2420000 |          1 |
|    -2410000 |          4 |
|    -2400000 |          3 |
|    -2390000 |          4 |
|    -2380000 |          5 |
|    -2370000 |          3 |
|    -2340000 |          1 |
|    -2330000 |          2 |
|    -2320000 |          5 |
|    -2310000 |          3 |
|    -2300000 |          3 |
|    -2290000 |          5 |
|    -2280000 |          5 |
|    -2270000 |          2 |
|    -2260000 |          3 |
|    -2250000 |          2 |
|    -2240000 |          5 |
|    -2230000 |          4 |
|    -2220000 |          5 |
|    -2210000 |          4 |
|    -2200000 |          4 |
|    -2190000 |          7 |
|    -2180000 |          2 |
|    -2170000 |          1 |
|    -2160000 |          6 |
|    -2150000 |          5 |
|    -2140000 |          3 |
|    -2130000 |          2 |
|    -2120000 |          3 |
|    -2110000 |          7 |
|    -2100000 |          4 |
|    -2090000 |          3 |
|    -2070000 |          5 |
|    -2060000 |          1 |
|    -2050000 |          2 |
|    -2040000 |          3 |
|    -2020000 |          1 |
|    -2010000 |          2 |
|    -2000000 |          3 |
|    -1990000 |          1 |
|    -1980000 |          2 |
|    -1970000 |          3 |
|    -1960000 |          1 |
|    -1950000 |          2 |
|    -1940000 |          3 |
|    -1930000 |          4 |
|    -1920000 |          1 |
|    -1910000 |          5 |
|    -1900000 |          2 |
|    -1890000 |          5 |
|    -1880000 |          7 |
|    -1870000 |          4 |
|    -1860000 |          6 |
|    -1850000 |          2 |
|    -1840000 |          4 |
|    -1830000 |          3 |
|    -1820000 |          7 |
|    -1810000 |          5 |
|    -1800000 |          6 |
|    -1790000 |          4 |
|    -1780000 |          5 |
|    -1770000 |          2 |
|    -1760000 |          6 |
|    -1750000 |          6 |
|    -1740000 |          4 |
|    -1730000 |          7 |
|    -1720000 |          6 |
|    -1710000 |          4 |
|    -1700000 |          4 |
|    -1690000 |          7 |
|    -1680000 |          4 |
|    -1670000 |          7 |
|    -1660000 |          1 |
|    -1650000 |          5 |
|    -1640000 |          3 |
|    -1630000 |          6 |
|    -1620000 |          7 |
|    -1610000 |          4 |
|    -1600000 |          5 |
|    -1590000 |          7 |
|    -1580000 |          4 |
|    -1570000 |          6 |
|    -1560000 |          8 |
|    -1550000 |          3 |
|    -1540000 |          2 |
|    -1530000 |          9 |
|    -1520000 |          8 |
|    -1510000 |          6 |
|    -1500000 |          4 |
|    -1490000 |          2 |
|    -1480000 |          4 |
|    -1470000 |          5 |
|    -1460000 |          3 |
|    -1450000 |          6 |
|    -1440000 |          5 |
|    -1430000 |          5 |
|    -1420000 |          7 |
|    -1410000 |         10 |
|    -1400000 |          8 |
|    -1390000 |          8 |
|    -1380000 |          8 |
|    -1370000 |          5 |
|    -1360000 |          6 |
|    -1350000 |          5 |
|    -1340000 |          5 |
|    -1330000 |          9 |
|    -1320000 |          7 |
|    -1310000 |          4 |
|    -1300000 |          7 |
|    -1290000 |          6 |
|    -1280000 |          9 |
|    -1270000 |          3 |
|    -1260000 |          5 |
|    -1250000 |          6 |
|    -1240000 |          7 |
|    -1230000 |          4 |
|    -1220000 |          9 |
|    -1210000 |          5 |
|    -1200000 |         10 |
|    -1190000 |          6 |
|    -1180000 |          4 |
|    -1170000 |          4 |
|    -1160000 |          8 |
|    -1150000 |          9 |
|    -1140000 |         11 |
|    -1130000 |         12 |
|    -1120000 |          7 |
|    -1110000 |          3 |
|    -1100000 |          9 |
|    -1090000 |         12 |
|    -1080000 |         12 |
|    -1070000 |          9 |
|    -1060000 |         11 |
|    -1050000 |          4 |
|    -1040000 |          8 |
|    -1030000 |          9 |
|    -1020000 |          9 |
|    -1010000 |         10 |
|    -1000000 |         10 |
|     -990000 |         10 |
|     -980000 |          8 |
|     -970000 |          4 |
|     -960000 |         10 |
|     -950000 |         13 |
|     -940000 |         14 |
|     -930000 |          7 |
|     -920000 |         13 |
|     -910000 |         18 |
|     -900000 |         10 |
|     -890000 |         16 |
|     -880000 |         16 |
|     -870000 |         12 |
|     -860000 |         15 |
|     -850000 |         12 |
|     -840000 |         16 |
|     -830000 |         15 |
|     -820000 |         16 |
|     -810000 |         17 |
|     -800000 |         17 |
|     -790000 |         21 |
|     -780000 |         14 |
|     -770000 |         21 |
|     -760000 |         26 |
|     -750000 |         22 |
|     -740000 |         27 |
|     -730000 |         31 |
|     -720000 |         30 |
|     -710000 |         14 |
|     -700000 |         23 |
|     -690000 |         30 |
|     -680000 |         35 |
|     -670000 |         44 |
|     -660000 |         35 |
|     -650000 |         27 |
|     -640000 |         42 |
|     -630000 |         29 |
|     -620000 |         33 |
|     -610000 |         33 |
|     -600000 |         52 |
|     -590000 |         41 |
|     -580000 |         56 |
|     -570000 |         50 |
|     -560000 |         27 |
|     -550000 |         32 |
|     -540000 |         53 |
|     -530000 |         41 |
|     -520000 |         59 |
|     -510000 |         54 |
|     -500000 |         42 |
|     -490000 |         46 |
|     -480000 |         65 |
|     -470000 |         63 |
|     -460000 |         60 |
|     -450000 |         56 |
|     -440000 |         73 |
|     -430000 |         70 |
|     -420000 |         66 |
|     -410000 |         66 |
|     -400000 |         74 |
